,form_submission,form_created,embed_form_in_notion_click,subscribed,form_saved,create_form_database_chosen,open_form_click,edit_form_click,save_form_click,create_form_click,paid_plans_buy_pro_click,nav_pricing_click,paying,cluster
16063.0,1,4,2,1,9,4,3,27,9,10,0,0,1,0
26720.0,0,1,0,1,19,4,0,22,19,1,2,1,1,0
26724.0,3,3,0,1,23,5,8,34,23,8,1,2,1,2
16618.0,16,3,1,1,139,4,10,137,149,4,1,1,1,2
20830.0,4,3,5,1,42,10,0,58,47,8,1,1,1,2
14299.0,0,4,0,1,20,11,1,21,23,6,2,4,1,0
14463.0,0,0,2,1,5,0,4,8,5,0,0,2,1,0
14288.0,16,2,1,1,27,3,4,32,27,2,1,2,1,2
15078.0,0,2,1,1,20,2,23,24,20,2,1,1,1,0
16087.0,15,20,9,1,327,86,38,403,347,54,1,7,1,1
17076.0,0,1,5,1,9,3,0,11,9,1,1,0,1,0
14489.0,0,0,0,1,31,1,6,44,31,1,1,0,1,2
18736.0,22,8,3,1,16,22,8,24,17,15,1,2,1,0
24337.0,0,6,0,1,48,7,17,95,51,9,2,0,1,2
15427.0,21,10,0,2,42,14,18,58,42,31,3,1,1,2
18343.0,31,9,0,1,55,16,27,68,55,13,1,4,1,2
16309.0,35,5,1,1,10,21,4,13,10,3,1,5,1,0
21283.0,11,9,1,1,25,12,0,28,25,16,1,2,1,2
22599.0,2,5,3,1,3,19,2,5,3,12,1,1,1,0
15454.0,12,13,1,1,62,18,4,103,62,23,0,1,1,2
15941.0,12,10,1,1,32,10,9,57,34,20,1,4,1,2
16103.0,62,6,1,1,33,8,1,45,36,9,0,1,1,2
19558.0,26,6,0,1,24,12,4,34,24,9,0,1,1,2
20432.0,17,7,2,1,60,10,6,66,60,8,1,2,1,2
14024.0,32,18,6,1,113,49,97,216,116,66,0,4,1,2
16278.0,4,2,1,1,9,2,3,19,9,5,4,3,1,0
21653.0,0,3,0,1,26,5,0,32,26,4,0,0,1,2
18827.0,25,6,3,1,46,18,43,59,50,18,0,2,1,2
22912.0,7,3,7,2,45,6,7,74,57,6,1,3,1,2
21379.0,11,7,1,1,9,19,0,16,9,12,1,2,1,0
15604.0,0,1,0,1,7,1,2,8,7,2,0,0,1,0
19941.0,17,3,0,1,6,5,3,11,6,5,1,1,1,0
22170.0,253,52,2,1,310,76,7,411,318,83,0,1,1,1
18734.0,3,5,2,0,32,6,17,47,32,4,0,0,1,2
22359.0,39,6,1,0,99,7,34,136,119,8,2,3,1,2
16487.0,0,3,0,1,27,9,2,38,27,3,0,1,1,2
18598.0,4,4,1,1,46,6,14,56,46,4,0,1,1,2
20686.0,6,3,0,1,53,4,0,67,53,2,1,1,1,2
19508.0,52,23,2,1,31,30,0,45,31,26,0,0,1,2
22028.0,4,2,2,0,32,7,6,41,32,5,0,0,1,2
15697.0,11,16,12,1,96,30,36,136,102,32,0,0,1,2
16547.0,1,2,1,1,16,3,2,19,17,4,2,2,1,0
16342.0,1,3,0,1,3,6,0,7,3,8,0,0,1,0
13871.0,1,7,3,1,30,7,0,28,31,6,0,7,1,2
20048.0,0,5,13,1,14,8,0,15,16,7,1,3,1,0
21117.0,1,1,1,1,54,3,2,60,61,2,1,6,1,2
20204.0,0,2,1,0,13,3,0,14,14,3,2,1,1,0
19967.0,0,2,3,1,14,4,1,22,18,4,2,3,1,0
21975.0,20,2,0,1,17,2,2,24,18,3,1,0,1,0
16256.0,41,13,0,1,154,29,3,172,161,19,1,0,1,2
16512.0,0,4,0,1,27,5,0,30,27,5,1,1,1,2
20943.0,27,12,2,1,76,22,3,128,81,24,2,4,1,2
24776.0,12,2,0,1,38,1,7,43,38,1,1,4,1,2
24951.0,0,1,0,1,1,4,0,5,1,5,1,2,1,0
15652.0,0,5,3,1,72,5,0,84,73,5,1,2,1,2
20886.0,1,3,1,1,14,4,0,15,14,2,3,2,1,0
25297.0,6,3,0,1,13,4,6,13,13,1,3,4,1,0
19797.0,1,3,2,0,27,8,2,30,29,4,0,0,1,2
25348.0,0,0,1,0,1,0,0,2,1,0,0,0,1,0
19585.0,62,27,2,1,77,36,23,98,78,30,1,1,1,2
18983.0,3,2,3,1,9,3,0,10,9,1,0,0,1,0
23010.0,0,1,0,1,31,1,0,33,31,1,2,3,1,2
23884.0,1,1,4,1,19,1,0,20,19,1,1,2,1,0
17550.0,23,20,1,1,25,30,5,35,25,21,1,0,1,2
14768.0,0,6,0,1,8,11,1,8,8,10,0,0,1,0
15656.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17443.0,5,2,0,1,5,2,2,7,5,2,1,0,1,0
21198.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
24456.0,0,3,0,1,5,5,0,12,5,6,0,1,1,0
16986.0,3,7,0,1,3,18,3,11,3,9,1,1,1,0
16964.0,7,20,0,1,82,26,1,120,86,25,3,5,1,2
18534.0,18,3,1,1,20,3,1,20,20,3,1,0,1,0
14991.0,0,3,1,1,10,7,8,14,10,5,1,2,1,0
16939.0,0,2,1,1,3,5,0,3,4,3,0,0,1,0
23089.0,4,1,1,1,19,1,0,23,19,1,1,0,1,0
23369.0,4,3,1,2,7,6,3,12,11,9,5,3,1,0
16736.0,10,4,0,1,37,7,12,56,38,5,1,0,1,2
15728.0,17,7,0,1,42,10,14,49,42,11,1,4,1,2
26397.0,0,2,0,1,3,3,0,3,3,1,0,4,1,0
18260.0,3,4,5,1,25,15,2,25,25,14,2,2,1,2
16127.0,9,9,2,2,33,18,1,38,38,9,4,1,1,2
21261.0,4,1,2,1,8,1,8,11,8,1,1,2,1,0
24382.0,1,6,0,1,17,7,2,26,17,8,3,4,1,0
24554.0,1,1,3,1,10,1,2,13,10,6,1,0,1,0
15920.0,0,1,1,1,516,4,1,598,557,0,0,1,1,1
16998.0,0,3,0,1,20,2,0,24,20,1,1,1,1,0
26268.0,3,1,2,1,25,1,3,27,25,4,1,0,1,0
22917.0,13,4,0,1,11,5,1,11,11,9,1,3,1,0
17197.0,0,2,0,1,4,3,0,6,4,1,1,2,1,0
14473.0,0,1,0,1,14,4,1,16,14,3,1,2,1,0
14752.0,2,6,5,1,24,15,1,26,26,15,2,5,1,2
16786.0,1,8,5,1,15,9,3,18,15,8,1,2,1,0
25785.0,0,1,1,1,7,4,1,11,7,4,0,0,1,0
15891.0,0,1,0,1,5,1,6,10,5,1,2,0,1,0
17421.0,0,3,2,1,13,4,0,13,13,11,3,2,1,0
13874.0,0,1,1,1,1,3,0,4,1,5,1,2,1,0
14033.0,0,4,0,1,29,12,8,39,30,8,1,0,1,2
14547.0,0,2,0,1,3,6,0,3,3,3,1,1,1,0
16713.0,1,0,0,0,12,6,0,16,12,8,0,0,1,0
19867.0,8,1,0,1,8,2,1,13,8,3,1,1,1,0
15779.0,2,0,1,1,13,0,5,16,13,0,1,2,1,0
20072.0,16,4,4,1,58,8,16,60,60,4,1,3,1,2
22065.0,1,1,2,1,13,2,10,19,15,7,4,3,1,0
22499.0,4,2,2,0,27,4,2,29,27,4,0,1,1,2
18107.0,18,1,0,1,45,1,0,50,45,3,1,0,1,2
18814.0,0,3,1,1,12,7,2,13,13,5,4,0,1,0
13932.0,0,1,3,1,7,1,2,8,8,2,2,1,1,0
19917.0,3,3,0,1,1,8,1,1,1,3,1,0,1,0
24102.0,0,0,1,1,6,0,0,6,6,0,0,0,1,0
19916.0,2,4,1,1,19,8,1,24,19,6,1,2,1,0
26469.0,18,7,5,1,20,13,23,27,21,10,1,0,1,2
18505.0,73,2,0,1,5,2,0,7,5,4,1,1,1,0
14400.0,6,3,2,0,14,4,1,19,14,4,0,0,1,0
19969.0,6,3,3,1,11,10,13,23,11,8,1,1,1,0
19211.0,0,3,3,1,25,3,1,35,25,7,0,5,1,2
18156.0,4,1,6,1,15,3,4,19,17,0,1,1,1,0
15785.0,0,3,1,1,21,4,10,22,22,2,0,0,1,0
17383.0,1,2,2,1,22,3,14,33,22,3,1,2,1,2
14105.0,0,2,2,1,6,8,0,6,6,13,1,3,1,0
18215.0,0,0,0,1,6,0,2,11,6,0,0,2,1,0
24057.0,1,3,0,2,20,7,0,20,20,2,1,0,1,0
25104.0,3,3,9,1,50,7,9,76,55,5,3,3,1,2
19881.0,1,2,1,1,4,3,4,4,4,1,1,1,1,0
24588.0,3,7,0,1,7,12,0,7,7,8,2,3,1,0
24911.0,26,6,0,1,49,5,7,65,50,9,2,2,1,2
14159.0,1,5,0,1,5,15,0,7,5,14,1,1,1,0
